"NAME","ACCOUNTNAME__C","ACCOUNTNUMBER__C","SALESAREANAME__C","SHOPPINGCART__C","url","PAYMENTPAGEURL__C"
"SA00478040","0011000000tBuO4AAK","SP00750245","7+English（PC・スマホ）","EC-CUBE","https://7plus-e.com/ad-lp/",""
"SA00518882","0015F00001D3GmXQAV","SP00831233","職人工房　EC-CUBE （PC・スマホ）","EC-CUBE","https://sk-hanko.com","https://sk-hanko.com/user_data/payment.php"
"SA00486655","0011000000IamMfAAJ","SP00647453","手作りコスメ　プチマルシェ（ＰＣ・スマホ）","EC-CUBE","http://www.anna-t-cosme.co.jp/",""
"SA00508994","0015F0000193lV6QAI","SP00819136","KAMARQ（カマルク） （PC・スマホ）","EC-CUBE","http://kamarq.jp",""
"SA00478111","0011000000tCb0bAAC","SP00750271","Everyday　Wellness　（PC・スマホ）","EC-CUBE","http://everydaywellness.jp",""
"SA00478108","0011000000tCa0cAAC","SP00750269","めぐふる（PC・スマホ）","EC-CUBE","http://megufull.com",""
"SA00478109","0011000000tCaKEAA0","SP00750270","みどり家ECショップ　（PC・スマホ）","ＥＣ-ＣＵＢＥ","http://midoriya-foods-shop.com",""
"SA00512041","0015F00001AOjZRQA1","SP00824493","ビタトール公式オンラインショップ　（PC・スマホ）","EC-CUBE","http://vitatreal.jp/","http://vitatreal.jp/user_data/howToOrder.php"
"SA00478220","0011000000tDUAmAAO","SP00750308","almaオンラインショップ（PC・スマホ）","EC-CUBE","http://shop.alma.company/",""
"SA00478319","0011000000bfhjXAAQ","SP00733473","ナイフショップ　レプマート（PC・スマホ）","EC-CUBE","http://repmart.org",""
"SA00479990","0011000000vcPh2AAE","SP00753323","EARL　EC-CUBE（PC）","EC-CUBE","http://www.earl-select.jp",""
"SA00478320","0011000000bfhjXAAQ","SP00733473","レプマート　ハンドクラフト（PC・スマホ）","EC-CUBE","http://repmart.biz",""
"SA00498528","0011000000Iar8vAAB","SP00665811","フレッシュクリーム（PC・スマホ）","EC-CUBE","http://freshcream.jp",""
"SA00507744","0015F000018jMQSQA2","SP00815661","ギムリス公式販売サイト　（PC・スマホ）","EC-CUBE","http://gimuris.com",""
"SA00502097","0015F000017yRdnQAE","SP00807330","時計専門店Search　watch　（PC・スマホ）","EC-CUBE","http://searchwatch.net",""
"SA00508430","0015F0000191UaAQAU","SP00817104","オフィス家具通販のオフィスコム　EC-CUBE（PC・スマホ）","EC-CUBE","http://www.office-com.jp",""
"SA00509996","0015F000019K8BXQA0","SP00821421","住の森 EC-CUBE （PC・スマホ）","EC-CUBE","http://www.sumai-mori.net",""
"SA00509995","0015F000019K8BXQA0","SP00821421","生活堂 EC-CUBE （PC・スマホ）","EC-CUBE","http://www.seikatsu-do.com",""
"SA00478362","0011000000tEQeMAAW","SP00750391","キッズアパレルショップオーガニック　（PC・スマホ）","EC-CUBE","http://www.kidsapparel-organic.com",""
"SA00488692","00110000014boIgAAI","SP00780928","nunonaの布ナプキン　EC-CUBE（PC・スマホ）","EC-CUBE","http://nunona.jp",""
"SA00511009","0011000000IaraLAAR","SP00667511","Colors（PC・スマホ）","EC-CUBE","http://www.shinko-colors.co.jp/ecc/",""
"SA00478400","0011000000tz4f4AAA","SP00750409","Lu　Felice　HP（PC・スマホ）","EC-CUBE","http://lufelice.jp",""
"SA00495401","0011000000tE9duAAC","SP00750348","コスメショップライチェ EC-CUBE （PC・スマホ）","EC-CUBE","http://licha.net/ecshop/",""
"SA00509818","0015F000019JpYpQAK","SP00821311","ｅｂｉｐ エビップ　（PC・スマホ）","EC-CUBE","http://ebip.jp/","http://ebip.jp/user_data/guide.php"
"SA00478458","","","自社EC","EC-CUBE","http://www.bikengroup.co.jp/cart/",""
"SA00478517","0011000000u0MbqAAE","SP00750457","お肌マルシェ（PC・スマホ・フィーチャーフォン）","EC-CUBE","http://ohada-marche.com",""
"SA00486716","00110000013FIhhAAG","SP00775835","蓮丈工房(ろーたす工房) （PC・スマホ）","EC-CUBE","http://www.lotusweets.info/",""
"SA00511342","0015F000017rhVyQAI","SP00804288","マユライズ公式HP（PC・スマホ）","EC-CUBE","http://lit-p.com/mayurise_kan/","http://lit-p.com/mayurise_kan/"
